date,strategy,horizon,objective,lookback_metrics
2026-07-31,weak_defensive_flow,1,0.0006462397856006519,"{'trades': 120, 'signal_days': 40, 'win_rate': 0.5166666666666667, 'mean_return': 0.001881896438756636, 'median_return': 0.0006350973011540098, 'daily_sharpe': 2.189698856267754, 'max_drawdown': -0.05791394483788925, 'profit_factor': 1.2764306133040406}"
2026-08-03,weak_defensive_flow,1,0.0006745388851125995,"{'trades': 117, 'signal_days': 39, 'win_rate': 0.5213675213675214, 'mean_return': 0.0019213861530147165, 'median_return': 0.0009094102885823143, 'daily_sharpe': 2.207169091290989, 'max_drawdown': -0.0579139448378887, 'profit_factor': 1.2795063850860995}"
2026-08-04,bull_pullback,1,0.0018512538663973442,"{'trades': 12, 'signal_days': 4, 'win_rate': 0.6666666666666666, 'mean_return': 0.0052434571858489265, 'median_return': 0.0038257184323455167, 'daily_sharpe': 4.171727455313838, 'max_drawdown': -0.020670703039527005, 'profit_factor': 1.989143216630247}"
2026-08-05,weak_defensive_flow,1,0.0011080675912938647,"{'trades': 111, 'signal_days': 37, 'win_rate': 0.5405405405405406, 'mean_return': 0.0024341636954469926, 'median_return': 0.0016051282051281937, 'daily_sharpe': 2.762270770573125, 'max_drawdown': -0.05791394483788925, 'profit_factor': 1.3587389180737872}"
2026-08-06,weak_defensive_flow,1,0.0008549029625874629,"{'trades': 108, 'signal_days': 36, 'win_rate': 0.5277777777777778, 'mean_return': 0.002153322650082796, 'median_return': 0.0009567884776245275, 'daily_sharpe': 2.4275656291122836, 'max_drawdown': -0.05791394483788914, 'profit_factor': 1.3087724889192458}"
2026-08-07,weak_defensive_flow,1,0.0009584601606645734,"{'trades': 105, 'signal_days': 35, 'win_rate': 0.5333333333333333, 'mean_return': 0.0022837412990008906, 'median_return': 0.0010041666666667406, 'daily_sharpe': 2.541475014788262, 'max_drawdown': -0.05791394483788914, 'profit_factor': 1.3226424417440552}"
2026-08-10,bull_pullback,1,0.0021669336664017482,"{'trades': 24, 'signal_days': 8, 'win_rate': 0.5833333333333334, 'mean_return': 0.004821794997044872, 'median_return': 0.0020876141915016537, 'daily_sharpe': 4.052418642510649, 'max_drawdown': -0.037619313768069484, 'profit_factor': 1.9283329558335078}"
2026-08-11,weak_defensive_flow,1,0.0012427884173728779,"{'trades': 99, 'signal_days': 33, 'win_rate': 0.5353535353535354, 'mean_return': 0.0022342677520369313, 'median_return': 0.0010041666666667406, 'daily_sharpe': 2.495557948054699, 'max_drawdown': -0.04064387476944775, 'profit_factor': 1.3127023062746166}"
2026-08-12,weak_defensive_flow,2,0.0022201933383654885,"{'trades': 99, 'signal_days': 33, 'win_rate': 0.5757575757575758, 'mean_return': 0.003915407018326639, 'median_return': 0.0042670143415906485, 'daily_sharpe': 3.54341540069448, 'max_drawdown': -0.060059862794633156, 'profit_factor': 1.4269011710018362}"
2026-08-13,weak_defensive_flow,2,0.0028536630418120753,"{'trades': 96, 'signal_days': 32, 'win_rate': 0.59375, 'mean_return': 0.004680706485796158, 'median_return': 0.004774421061184688, 'daily_sharpe': 4.306751973046956, 'max_drawdown': -0.059983538769855516, 'profit_factor': 1.5309712735536989}"
2026-08-14,weak_defensive_flow,2,0.003006329647862818,"{'trades': 93, 'signal_days': 31, 'win_rate': 0.6021505376344086, 'mean_return': 0.004883309920821841, 'median_return': 0.004851612903225712, 'daily_sharpe': 4.429889380166287, 'max_drawdown': -0.05998353876985563, 'profit_factor': 1.579954288610087}"
2026-08-17,weak_defensive_flow,2,0.00316821286288702,"{'trades': 90, 'signal_days': 30, 'win_rate': 0.6111111111111112, 'mean_return': 0.005099420251515902, 'median_return': 0.005078845125646094, 'daily_sharpe': 4.558971291022121, 'max_drawdown': -0.05998353876985574, 'profit_factor': 1.6375380348377935}"
2026-08-18,weak_defensive_flow,2,0.003340351891547301,"{'trades': 87, 'signal_days': 29, 'win_rate': 0.6206896551724138, 'mean_return': 0.005330434742947484, 'median_return': 0.005306077348066475, 'daily_sharpe': 4.694552280348916, 'max_drawdown': -0.059983538769855516, 'profit_factor': 1.7062057773595527}"
2026-08-19,weak_defensive_flow,2,0.0033631164467608815,"{'trades': 84, 'signal_days': 28, 'win_rate': 0.6309523809523809, 'mean_return': 0.005351742564981287, 'median_return': 0.005983473456642009, 'daily_sharpe': 4.628480412315105, 'max_drawdown': -0.05847710213326873, 'profit_factor': 1.7339812462758}"
