model,horizon,selected_on_validation,trades,signal_days,win_rate,mean_return,median_return,daily_sharpe,max_drawdown,profit_factor
baseline_accumulation,1,True,304,61,0.46381578947368424,0.0029826509656848076,-0.002882464436274666,3.0627034213371966,-0.07907224480649722,1.2680156700584853
baseline_accumulation,2,False,304,61,0.39144736842105265,0.00022790729198875643,-0.013191676913342953,0.2242980799985372,-0.14163432991765623,1.0149450886584817
baseline_accumulation,3,False,304,61,0.3848684210526316,-0.0006377416170611881,-0.026783064280598744,-0.4290242502929554,-0.17349244457395496,0.9628047359332097
candidate_trend_pullback,3,True,140,28,0.35714285714285715,-0.006060961451857058,-0.011678002969238887,-5.8688092369609475,-0.14325234387971508,0.5907622066352362
