template,breadth,sector_flow,stock_flow,max_vol_rank,momentum,horizon,train_trades,train_mean_return,train_win_rate,validation_trades,validation_days,validation_mean_return,validation_win_rate,validation_profit_factor,validation_max_drawdown,selection_objective,pullback_rank,breakout,volume_ratio
flow_trend,0.5,-0.03,-0.03,0.75,0.65,3,55,0.0031780998518126514,0.4909090909090909,30,6,0.01859128216481952,0.6666666666666666,3.0207078186120992,-0.013600000000000056,0.01893328216481952,,,
flow_trend,0.5,-0.03,0.0,0.75,0.65,3,55,0.0031780998518126514,0.4909090909090909,30,6,0.01859128216481952,0.6666666666666666,3.0207078186120992,-0.013600000000000056,0.01893328216481952,,,
flow_trend,0.5,0.0,-0.03,0.75,0.65,3,55,0.0031780998518126514,0.4909090909090909,30,6,0.01859128216481952,0.6666666666666666,3.0207078186120992,-0.013600000000000056,0.01893328216481952,,,
flow_trend,0.5,-0.03,0.03,0.75,0.65,3,55,0.0031780998518126514,0.4909090909090909,30,6,0.01859128216481952,0.6666666666666666,3.0207078186120992,-0.013600000000000056,0.01893328216481952,,,
flow_trend,0.5,0.03,-0.03,0.75,0.65,3,55,0.003457347750033747,0.509090909090909,30,6,0.01859128216481952,0.6666666666666666,3.0207078186120992,-0.013600000000000056,0.01893328216481952,,,
flow_trend,0.5,0.03,0.03,0.75,0.65,3,55,0.003457347750033747,0.509090909090909,30,6,0.01859128216481952,0.6666666666666666,3.0207078186120992,-0.013600000000000056,0.01893328216481952,,,
flow_trend,0.5,0.0,0.0,0.75,0.65,3,55,0.0031780998518126514,0.4909090909090909,30,6,0.01859128216481952,0.6666666666666666,3.0207078186120992,-0.013600000000000056,0.01893328216481952,,,
flow_trend,0.5,0.0,0.03,0.75,0.65,3,55,0.0031780998518126514,0.4909090909090909,30,6,0.01859128216481952,0.6666666666666666,3.0207078186120992,-0.013600000000000056,0.01893328216481952,,,
flow_trend,0.5,0.03,0.0,0.75,0.65,3,55,0.003457347750033747,0.509090909090909,30,6,0.01859128216481952,0.6666666666666666,3.0207078186120992,-0.013600000000000056,0.01893328216481952,,,
flow_trend,0.5,-0.03,-0.03,0.75,0.35,3,55,0.004694642154806536,0.509090909090909,30,6,0.015364640534240923,0.6333333333333333,2.647564592695187,-0.013599999999999945,0.01561853168241472,,,
flow_trend,0.5,-0.03,0.0,0.75,0.35,3,55,0.004694642154806536,0.509090909090909,30,6,0.015364640534240923,0.6333333333333333,2.647564592695187,-0.013599999999999945,0.01561853168241472,,,
flow_trend,0.5,0.0,-0.03,0.75,0.35,3,55,0.004694642154806536,0.509090909090909,30,6,0.015364640534240923,0.6333333333333333,2.647564592695187,-0.013599999999999945,0.01561853168241472,,,
