code,date,open,high,low,close,volume,amount,main_net,industry,name,ret5,ret10,ret20,ret60,ma20_gap,breakout20,vol20,amount_ratio5_20,flow5,flow10,flow_positive_ratio10,flow_z,net_return_1d,net_return_2d,net_return_3d,market_ret20,market_breadth,median_vol20,sector_flow5,mom20_rank,mom60_rank,flow10_rank,vol20_rank,ret5_industry_rank,sector_flow_rank,signal_score
603612,2026-09-17,16.75,16.94,16.33,16.4,8893898.0,146591197.0,-112947315.72131152,非金属材料Ⅱ,索通发展,-0.055299539170507006,-0.049275362318840665,-0.0024330900243311193,-0.12017167381974259,-0.03671071953010274,-0.0796857463524131,0.01712938494653907,0.9068103647296745,0.152525968698631,0.09988419194275765,0.6,0.05966355972604783,,,,-0.013517267962535662,0.27918170878459686,0.02221688474467293,0.20311514990636861,0.5661853188929001,0.3206979542719615,0.8455675892498997,0.27737665463297234,0.125,0.9662053750501404,0.8531137184115524
301365,2026-09-17,37.77,37.77,36.7,36.99,2534666.0,94413636.0,-43236151.06542072,工程咨询服务Ⅱ,矩阵股份,-0.049344641480339124,-0.038471536262022266,-0.038221528861154375,0.09502664298401431,-0.05269223381778598,-0.1253251359659493,0.018587081330334997,1.1683100045038834,0.2671123398695392,0.1108490482774501,0.5,-0.15771404829111207,,,,-0.013517267962535662,0.27918170878459686,0.02221688474467293,0.19890121902885766,0.3489771359807461,0.8024468511833133,0.8616125150421179,0.3469715202567188,0.20512820512820512,0.9614921780986763,0.8324007220216606
002204,2026-09-17,5.47,5.56,5.34,5.5,64784051.0,352309567.0,160140712.2727283,专用设备,大连重工,-0.06621392190152797,0.07003891050583655,0.05566218809980805,0.020408163265306145,0.031894934333958735,-0.06621392190152797,0.026535409287062692,2.126347850939388,0.10444908791073426,0.28237761112336246,0.8,0.4919588935845388,,,,-0.013517267962535662,0.27918170878459686,0.02221688474467293,0.0953400734616593,0.8006417970316887,0.6271560369033293,0.9765342960288809,0.6291616526273566,0.06432748538011696,0.8221018852787806,0.8303650220617729
